shortname,B,F110W,FUV,H,I,J,K,Ks,L,M,NUV,R,U,V,W1,W2,W3,W4,Y,[24],[3.6],[4.5],[5.8],[8.0],[8],g,i,r,u,y,z
0339-3525,,,,9.9985,14.01,10.7025,9.53,9.549,8.72,,,16.39,,18.7,9.133,8.808,8.272,7.997,,,8.87,8.79,8.59,,8.42,,,,,,
0345+2540,,,,13.2055,,13.9185,12.66,12.672,12.01,,,,,,12.349,12.093,12.135,8.898,,,,,,,,,,,,,
0351-0052,,,,10.5695,13.8,11.271,10.15,10.232,,,,16.08,,18.11,9.968,9.758,9.587,8.604,,,,,,,,19.00274,14.72488,17.28765,22.38,,13.28283
0355+1133,,,,12.53,,14.05,,11.53,,,,,,,10.528,9.943,9.294,8.317,,,,,,,9.427,24.82263,19.26252,21.76513,24.69322,,17.21609
0357-4417,,,,13.531,,14.367,,12.91,,,,,,,12.475,12.086,11.6,9.318,,,12.21,12.08,11.86,,11.65,,,,,,
0415-0935,,16.47,,15.6185,,15.5075,15.83,15.429,13.28,16.17666667,,,,,15.108,12.261,11.132,8.638,,,14.1,12.29,12.87,,12.11,,23.45,,,,19.4
0423-0414,,15.28,,13.463,,14.36733333,12.96,12.8175,11.45,14.06666667,,,,,12.176,11.578,10.569,8.987,15.41,,11.73,11.58,11.3,,11.01,25.37795,20.16551,22.76358,25.72467,,17.299465
0428-2253,,,,12.668,16.797,13.479,,12.045,,,,19.18,,21.68,11.707,11.47,11.057,8.622,,,,,,,,,,,,,
0435-1606,,,,9.779,13.08,10.406,,9.352,,,,15.49,,17.67,9.081,8.852,8.522,8.443,,,,,,,,,,,,,
0436-4114,,,,12.43,,13.097,,12.0515,,,,,,,11.74,11.46,11.111,9.184,,,,,,,,,,,,,
0439-2353,,,,13.409,,14.408,,12.816,,,,,,,12.039,11.678,11.116,8.978,,,,,,,11.276,,,,,,
0443+0002,,,,11.804,,12.507,,11.216,,,,,,,10.826,10.476,10.031,8.423,,,10.55,10.45,10.35,,10.22,21.98923,17.00478,19.75807,24.95039,,15.08862
0445-3048,,,,12.58,16.793,13.4675,,11.969,,,,,,,11.573,11.333,10.746,9.183,,,,,,,10.983,,,,,,
0451-3402,,,,12.826,16.8565,13.525,,12.3335,,,,19.38,,22.11,11.92,11.658,11.003,9.047,,,11.66,11.66,11.52,,11.3,,,,,,
0500+0330,,,,12.683,17.32,13.669,,12.062,,,,19.77,,23.01,11.514,11.249,10.962,8.538,,,,,,,,,,,,,
0501-0010,,,,13.713,,14.982,,12.963,,,,,,,12.05,11.518,10.952,9.165,,,11.77,11.52,11.22,,11.03,22.82345,19.41631,21.12477,25.11619,,17.76571
0516-0445,,16.66,,15.747,,15.984,15.787,15.486,,17.55,,,,,15.49,13.665,11.567,8.654,,,,,,,,,,,,,
0523-1403,,,,12.22,16.52,13.084,,11.638,,,,18.71,,21.05,11.156,10.864,10.498,8.913,,,,,,,10.698,,,,,,
0539-0058,,,,13.072,,13.9415,12.4,12.527,11.32,11.87,,,,,11.869,11.578,11.411,8.419,,,11.49,11.6,11.35,,11.2,23.41176,19.08287,21.39613,24.08897,,16.73289
0559-1404,,,,13.6595,,13.686,13.73,13.577,12.14,12.15,,,,,13.386,11.904,11.025,9.058,,,12.67,11.93,11.73,,11.42,,21.35,,,,17.22
0602+3910,,,,11.451,,12.3,,10.865,,,,,,,10.435,10.124,9.591,8.428,,,,,,,,,,,,,
0608-2753,,,,12.897,,13.595,,12.371,,,,,,,11.976,11.623,11.314,9.093,,,11.75,11.62,11.52,,11.44,,,,,,
0610-2152B,,,,14.36,,14.01,14.36,,12.24,11.74,,,,,,,,,15.17,,,,,,,,,,,,
0611-0410AB,,,,14.694,,15.4435,14.292,14.221,,,,,,,13.559,12.92,11.926,8.619,,,13.069,12.924,,,,,,,,,
0619-5803b,,,,14.66,,16.15,,14.11,13.22,,,,,,,,,,,,,,,,,,,,,,
0624-4521,,,,13.335,,14.48,,12.595,,,,,,,11.83,11.478,10.866,9.526,,,,,,,10.969,,,,,,
0641-4322,,,,12.941,16.97,13.751,,12.451,,,,,,,12.073,11.784,11.212,9.581,,,,,,,,,,,,,
0652-2534,,,,12.02,15.9065,12.7255,,11.5185,,,,18.38,,20.77,11.12,10.772,10.388,9.314,,,,,,,,,,,,,
0700+3157,,,,11.947,,12.923,,11.317,,,22.586,,,,10.683,10.377,9.715,8.683,,,,,,,9.957,,,,,,
0707-4900,,,,12.538,16.282,13.3175,,12.2335,,,,18.74,,21.09,11.83,11.558,11.336,9.48,,,,,,,,,,,,,
0722-0540,,,,16.5215,,16.5035,17.074,14.823,13.4,,,,,,15.147,12.171,10.177,8.637,17.37,,14.28,12.19,,,,,24.32,,,,20.52
0727+1710,,,,15.713,,15.395,15.69,15.556,13.68,,,,,,15,14.324,10.546,8.424,,,14.41,13.01,13.24,,12.64,,,,,,
0729-3954,,,,15.98,,15.92,,15.27,,,,,,,14.931,15.084,11.555,9.226,,,14.82,14.808,,,,,24.18,,,,19.67
0742+2055,,,,15.911,,16.193,,15.225,,,,,,,15.66,13.778,11.963,8.84,,,,,,,,24.37,24.004,24.442,23.896,,19.429
0746+2000,,,,11.007,14.9,11.759,,10.468,,,,17.42,,20.05,10.125,9.864,9.448,8.813,,,9.86,9.9,9.72,,9.57,21.14195,16.11246,18.66761,22.08256,,14.29239
0751-2530,,,,12.495,16.46,13.191,,12.031,,,,18.86,,21.66,11.67,11.446,11.291,9.482,,,,,,,,,,,,,
0752+1612,,,21.926,10.197,,10.879,,9.846,,,21.233,,,,9.606,9.448,9.256,8.952,,,,,,,,17.96143,14.129,16.29308,20.0334,,12.75777
0817-6155,,,,13.526,,13.492,,13.3635,,,,,,,12.96,11.24,,,,,,,,,,,,,,,
0825+2115,,,,13.801,19.22,14.995,12.93,13.028,11.53,,,21.97,,,12.083,11.565,10.392,9.027,,,11.7,11.59,11.16,,10.93,25.0543,20.58884,23.28185,23.68091,,17.81222
0829+2646,,,,7.62,10.58,8.24,,7.26,,,,12.88,,14.94,7.03,6.819,6.63,6.467,,,6.84,6.84,6.76,,6.74,,,,,,
0830+0128,,,,16.1965,,16.174,16.35,16.36,,,,,,,15.753,14.045,12.583,,17.203,,,,,,,24.73,24.6305,25.71,25.1,,19.5
0830+0947,,,,11.165,14.774,11.89,,10.756,,,,17.16,,19.063,10.508,10.331,10.19,8.557,,,10.32,10.35,10.24,,10.2,19.52312,15.72395,18.01682,19.79059,,14.07388
0830+4828,,,,14.3715,,15.332,13.68,13.676,11.98,12.75,,,,,12.915,12.461,11.713,9.05,,,,,,,,25.54734,21.20863,23.514,25.70623,,18.0104
0835-0819,,,,11.938,,13.169,,11.136,,,,,,,10.407,10.048,9.472,8.402,,,10.06,10.06,9.79,,9.73,,,,,,
0847-1532,,,,12.629,16.86,13.513,,12.061,,,,19.16,,21.93,11.698,11.453,11.018,9.203,,,,,,,,,,,,,
0853-0329,,,,10.4745,14.44,11.196,9.91,9.942,9.39,9.62,,16.74,,18.94,9.624,9.381,8.967,8.756,,,9.41,9.39,9.22,,9.13,,,,,,
0859-1949,,,,14.436,,15.527,,13.751,,,,,,,12.881,12.383,10.99,9.186,,,,,,,,,,,,,
0912+1459,,,,14.621,,15.512,,14.043,,,,,,,13.225,12.484,11.331,8.789,,,12.5,12.33,11.96,,11.95,,,,,,
0920+3517,,,,14.673,,15.625,,13.979,,,,,,,13.252,12.799,12.266,9.1495,,,,,,,12.21,24.511,22.034,23.97,25.731,,18.353
0937+2931,,,,14.6865,,14.469,15.39,15.267,12.34,11.74,,,,,14.073,11.658,10.75,8.53,,,13.1,11.64,12.32,,11.73,25.398,22.2635,23.29,24.902,,17.7555
0939-2448,,,,15.955,,15.78133333,16.83,16.83,,,,,,,15.03,11.64,10.714,9.196,16.47,,13.76,11.66,12.95,,11.89,,,,,,
0949-1545,,,,15.262,,16.0095,,15.227,,,,,,,14.926,13.96,12.48,9.27,,,,,,,,,,,,,
1004+5022,,,,13.648,,14.831,,12.778,,,,,,,11.7,11.134,10.273,8.54,,10.55,11.66,11.47,11.1,,10.83,,19.88,22.44,,,17.83
1007-4555,,,,15.686,,15.653,,15.56,,,,,,,15.626,13.87,12.928,9.194,,,,,,,,,,,,,
1010-0406,,,,14.385,,15.508,,13.619,,,,,,,12.891,12.517,11.431,8.654,,,,,,,,,,,,,
1017+1308,,,,13.284,,14.096,,12.71,,,,,,,12.288,12.048,11.444,9.001,,,12.03,12.05,11.85,,11.7,23.4342,18.54652,20.94282,24.21985,,16.74037
1021-0304,,17.09,,15.346,,16.253,,15.126,,17.585,,,,,14.738,13.773,12.1745,8.988,,,14.16,13.8,13.58,,13.16,24.51555,23.58202,23.52325,25.22801,,19.31458
1022+4114,,,,14.022,,14.901,,13.608,,,,,,,13.195,12.949,12.137,9.063,,,,,,,,,,,,,
1022+5825,,,,12.642,,13.499,,12.16,,,,,,,11.762,11.496,11.2,9.133,,,,,,,,23.08911,17.86563,20.22194,24.5317,,15.99258
1036-3441,,,,14.45,,15.62,,13.8,,,,,,,12.965,12.446,11.328,8.629,,,,,,,11.892,,,,,,
1047+2124,,,,15.797,,15.82,,,,,,,,,15.428,12.972,11.724,9.17,,,14.39,12.95,13.52,,12.91,,23.52,,,,18.95
1048-3956,,,,8.905,12.668,9.5665,,8.512,,,,15.051,,17.532,8.103,7.814,7.462,7.226,,,,,,,,,,,,,
1049-3519A,,,,10.37,15.29,11.53,9.44,,,,,18.85,,23.25,8.25,7.77,6.94,,,,,,,,,,,,,,13.83
1049-3519B,,,,10.39,15.57,11.22,9.73,,,,,19.45,,24.07,9.26,8.52,6.96,,,,,,,,,,,,,,13.76
1056+0700,15.541,,,6.486,9.507,7.0575,6.06,6.084,5.71,5.85,,11.684,16.706,13.507,5.807,5.487,5.481,5.31,,,,,,,,,,,,,
1058-1548,,,,13.258,17.66,14.1375,12.55,12.532,11.62,,,20.01,,23.01,12.066,11.766,11.417,9.046,,,11.76,11.77,11.6,,11.5,,,,,,
1102-3430,,,,12.356,,13.034,,11.8885,,,21.175,,,,11.435,10.793,9.385,8.021,,,,,,,9.92,,,,,,
1110+0116,,17.27,,16.0605,,16.252,16.051,15.129,,17.82,,,,,15.531,13.917,12.117,9.159,17.338,,14.71,13.88,13.43,,13.21,24.567,24.089,24.65,25.496,,19.7495
1112+3548,,,,13.499,,14.584,,12.721,,,,,,,11.968,11.638,11.091,8.538,,,,,,,,24.977,19.312,21.814,25.086,,17.263
1114-2618,,,,15.777,,15.66933333,16.54,16.109,,,,,,,15.368,12.239,10.973,9.147,16.44,,14.01,12.23,13.22,,12.25,,23.69,,,,19.49
1139-3159,,,,11.996,15.829,12.6705,11.379,11.503,,,,,,,11.155,10.793,10.626,8.479,,,,,,,10.607,,,,,,
1146+2230,,,,13.182,,14.165,,12.59,,,,,,,12.014,11.71,11.279,8.731,,,,,,,,23.62679,18.72696,21.13088,24.25609,,16.83368
1154-3400,,,,13.331,,14.195,,12.8505,,,,,,,12.35,12.037,11.369,9.548,,,,,,,,,,,,,
1155-3727,,,,12.04,16.177,12.7895,,11.4295,,,,,,,11.04,10.733,10.335,9.321,,,10.74,10.75,10.58,,10.42,,,,,,
