shortname,B,F110W,FUV,H,I,J,K,Ks,L,M,NUV,R,U,V,W1,W2,W3,W4,Y,[24],[3.6],[4.5],[5.8],[8.0],[8],g,i,r,u,y,z
2057-0252,,,,12.268,,13.121,,11.724,,,,,,,11.261,10.981,10.431,8.906,,,,,,,10.647,22.77736,17.62437,20.18428,22.43459,,15.75348
2101+1756,,,,15.861,,16.853,,14.892,,,,,,,14.099,13.558,12.616,8.638,,,,,,,,25.013,22.429,24.678,24.696,,19.685
2104-1037,,,,12.975,17.18,13.841,,12.369,,,,19.46,,22.37,11.915,11.681,10.445,7.775,,,11.55,11.62,11.44,,11.29,,,,,,
2114-2251,,,,15.7,,16.928,14.41,14.74,,,,,,,13.237,12.503,11.946,8.089,18.81,,,,,,,23.6,22.9,23.1,,19.51,20.8
2126-8140,,,,14.405,18.377,15.4675,,13.59,,,,,,,12.91,12.472,11.885,9.357,,,,,,,,,,,,,
2127-4215,,,,12.665,,13.321,,12.186,,,,,,,11.905,11.671,11.361,8.964,,,,,,,,,,,,,
2139+0220,,,,14.165,,15.264,,13.582,,,,,,,12.718,11.928,10.665,8.686,,,,,,,,25.15528,22.64001,24.83632,24.30311,,18.19062
2144+1446,,,,15.475,,16.28,15.12,15.63,,,,,,,,,,,,,13.72,13.39,13.08,,12.58,,,,,,
2148+4003,,,,12.783,,14.147,,11.765,,,,,,,10.739,10.235,9.657,9.2,,,,,,,,,,,,,
2206-4217,,,,14.447,,15.555,,13.609,,,,,,,12.823,12.376,11.887,9.259,,,,,,,,,,,,,
2208+2921,,,,14.793,,15.797,,14.148,,,,,,,13.354,12.888,12.584,9.298,,,13.08,12.89,12.62,,12.33,25.96196,20.67259,23.30451,24.99614,,18.80515
2224-0158,,,,12.829,17.77,13.9815,11.98,12.022,10.9,11.32,,20.26,,23.82,11.361,11.121,10.648,8.569,,,11.05,11.14,10.85,,10.81,,,,,,
2228-4310,,,,15.363,,15.662,,15.296,,,,,,,15.274,13.328,11.964,8.927,,,,,,,,,,,,,
2234+4041,,,,11.833,,12.573,,11.443,,,,,,,10.916,10.331,8.358,5.685,,,,,,,,,,,,,
2237+3922,,,,12.691,,13.343,,12.178,,,,,,,11.708,11.426,11.012,8.982,,,,,,,,,,,,,
2244+2043,,,,15.0295,,16.403,13.9,14.022,12.11,11.9,,,,,12.777,12.108,11.136,9.301,,,12.35,12.11,11.59,11.36,,25.39338,21.5778,23.97015,24.54138,,19.22698
2306-0502,,,,10.718,14.024,11.354,,10.296,,,,16.466,,18.798,10.042,9.799,9.528,8.397,,,,,,,,,,,,,
2322-3133,,,,12.789,16.841,13.563,,12.308,,,,,,,11.974,11.707,11.253,9.153,,,,,,,,,,,,,
2322-6151,,,,14.535,,15.545,,13.86,,,,,,,13.243,12.841,12.679,9.378,,,,,,,,,,,,,
2351-2537,,,,11.725,15.409,12.454,,11.3185,,,,,,,10.934,10.678,10.303,8.961,,,,,,,10.514,,,,,,
2354-3316,,,,12.365,16,13.0885,,11.859,,,,,,,11.613,11.387,11.213,8.681,,,,,,,,,,,,,
2356-1553,,,,15.665,,15.652,15.73,15.771,,,,,,,15.507,13.707,12.168,8.921,,,14.69,13.69,13.57,,13.21,,22.92,,,,19.27
